date,log_dp,log_dy,log_ep,log_de,bm,ntis,tbl,lty,ltr,tml,dfy,dfr,infl_lag,target
1960-02-01,-3.3838872715494697,-3.3838872715494697,-2.806662333841901,-0.5772249377075686,0.49355678283501553,0.02403749397684586,0.039599999999999996,0.0429,0.0204,0.0033000000000000043,0.007800000000000001,-0.007600000000000001,-3.3838872715494697,0.010622000000000001
1960-03-01,-3.350808001283543,-3.350808001283543,-2.792666052966421,-0.5581419483171222,0.5497980830049141,0.025593410038608932,0.0331,0.0411,0.0282,0.008,0.007599999999999996,-0.0091,-3.350808001283543,-0.015324333333333334
1960-04-01,-3.331409534730875,-3.331409534730875,-2.7878467095469155,-0.5435628251839596,0.5634036895462855,0.025577133316052773,0.0323,0.0426,-0.017,0.010299999999999997,0.0075,0.0148,-3.331409534730875,-0.018804666666666664
1960-05-01,-3.356191138822942,-3.356191138822942,-2.827380308730727,-0.5288108300922152,0.5419664268585132,0.02441437546276916,0.0329,0.0417,0.0152,0.008800000000000002,0.008199999999999999,-0.0173,-3.356191138822942,0.030771333333333335
1960-06-01,-3.3738174006459962,-3.3738174006459962,-2.8599195778430353,-0.5138978228029608,0.5291748618525803,0.024269926304970404,0.0246,0.0407,0.0173,0.0161,0.008099999999999996,-0.0031999999999999997,-3.3738174006459962,0.019752
1960-07-01,-3.3487338121264143,-3.3487338121264143,-2.833815038278742,-0.5149187738476724,0.549673276798599,0.025778486814854926,0.023,0.0382,0.0368,0.015199999999999998,0.008099999999999996,-0.011099999999999999,-3.3487338121264143,-0.024864666666666667
1960-08-01,-3.374519894528065,-3.374519894528065,-2.858578149687661,-0.5159417448404037,0.541542197159699,0.025195535096172984,0.023,0.039,-0.0067,0.016,0.007999999999999993,0.0184,-3.374519894528065,0.029550333333333335
1960-09-01,-3.312226043244318,-3.312226043244318,-2.795265430910811,-0.5169606123335067,0.5843417106215741,0.028312466953847915,0.0248,0.0387,0.0075,0.0139,0.007599999999999996,-0.0138,-3.312226043244318,-0.06077966666666667
1960-10-01,-3.3097940899364393,-3.3097940899364393,-2.7928334776029327,-0.5169606123335067,0.5841202012543938,0.027823797811665645,0.023,0.0391,-0.0028,0.016100000000000003,0.00810000000000001,0.0036,-3.3097940899364393,-0.0029956666666666664
1960-11-01,-3.349274109302998,-3.349274109302998,-2.8323134969694914,-0.5169606123335067,0.5676300190884431,0.0260342129636394,0.023700000000000002,0.0399,-0.0066,0.016199999999999996,0.0076999999999999985,-0.0004000000000000002,-3.349274109302998,0.044106
1960-12-01,-3.3945083935113587,-3.3945083935113587,-2.877547781177852,-0.5169606123335067,0.5504229651398789,0.02276136078944106,0.0225,0.038,0.0279,0.0155,0.0075,-0.0175,-3.3945083935113587,0.046964
1961-01-01,-3.4574594669911085,-3.4574594669911085,-2.957308750348511,-0.5001507166425975,0.5229867324899722,0.021815336084963794,0.022400000000000003,0.0404,-0.0107,0.017999999999999995,0.0077999999999999944,0.025500000000000002,-3.4574594669911085,0.06245333333333333
1961-02-01,-3.4856915808996383,-3.4856915808996383,-3.0026921244890508,-0.4829994564105876,0.5120227162880618,0.019419904253929303,0.0242,0.0392,0.02,0.015,0.008000000000000007,0.0010000000000000009,-3.4856915808996383,0.030821333333333333
1961-03-01,-3.5126219479699685,-3.5126219479699685,-3.0471388301355513,-0.4654831178344173,0.5466798693525264,0.022737590536724583,0.0239,0.0397,-0.0037,0.015799999999999998,0.008,0.0008000000000000004,-3.5126219479699685,0.027353333333333334
1961-04-01,-3.516457190839329,-3.516457190839329,-3.05746760231546,-0.45898958852386895,0.5450044938191568,0.023259249957812013,0.0229,0.0391,0.0115,0.016200000000000003,0.007599999999999996,-0.0231,-3.516457190839329,0.002628666666666667
1961-05-01,-3.535415823437716,-3.535415823437716,-3.082962205893633,-0.45245361754408353,0.5309162934894935,0.022465655357862314,0.0229,0.0397,-0.0046,0.0168,0.007400000000000004,0.0095,-3.535415823437716,0.021644666666666666
1961-06-01,-3.506145441137603,-3.506145441137603,-3.060270794691562,-0.445874646446041,0.5408211006491607,0.022482125766926812,0.0233,0.0404,-0.0075,0.017099999999999997,0.007000000000000006,-0.0005000000000000004,-3.506145441137603,-0.028614666666666667
1961-07-01,-3.534983878294307,-3.534983878294307,-3.0903425784956386,-0.4446412997986686,0.5244056310872308,0.02517962764818568,0.022400000000000003,0.0404,0.0035,0.017999999999999995,0.0068000000000000005,0.0005,-3.534983878294307,0.03192833333333333
1961-08-01,-3.551000979025146,-3.551000979025146,-3.107584276811944,-0.44341670221320173,0.5137928160680056,0.025425910160150417,0.0239,0.041,-0.0038,0.0171,0.006600000000000002,0.002,-3.551000979025146,0.022738333333333333
1961-09-01,-3.5277101536730893,-3.5277101536730893,-3.0855130362961947,-0.4421971173768944,0.5275167210963905,0.024963386856248895,0.022799999999999997,0.0403,0.0129,0.017500000000000005,0.006699999999999998,0.0014999999999999996,-3.5277101536730893,-0.020574
1961-10-01,-3.5454871927238596,-3.5454871927238596,-3.0982566968469807,-0.447230495876879,0.5254858506648483,0.025835908945154994,0.023,0.04,0.0071,0.017,0.007100000000000002,0.005599999999999999,-3.5454871927238596,0.02625833333333333
1961-11-01,-3.574029612434994,-3.574029612434994,-3.121894045463632,-0.4521355669713618,0.512610864745011,0.025570612919183385,0.0248,0.0404,-0.002,0.0156,0.007200000000000012,0.0048000000000000004,-3.574029612434994,0.043159333333333334
1961-12-01,-3.5672989945893465,-3.5672989945893465,-3.1103755892057063,-0.45692340538363985,0.5059222583910058,0.022324287879189435,0.026000000000000002,0.0415,-0.0125,0.0155,0.0068000000000000005,0.0099,-3.5672989945893465,0.0025293333333333327
1962-01-01,-3.525390919297883,-3.525390919297883,-3.0531299750016925,-0.4722609442961906,0.5284285714285714,0.024721355291770126,0.027200000000000002,0.0419,-0.0014,0.014699999999999998,0.006600000000000002,0.0094,-3.525390919297883,-0.03962266666666667
1962-02-01,-3.5382488069848512,-3.5382488069848512,-3.0509754607614297,-0.48727334622342167,0.522420732999082,0.028783380858435216,0.0273,0.0414,0.0103,0.014099999999999998,0.006500000000000006,-0.0051,-3.5382488069848512,0.018317
1962-03-01,-3.5290961105133265,-3.5290961105133265,-3.0271331740051814,-0.5019629365081453,0.5457245915552726,0.02407530411590809,0.027200000000000002,0.0398,0.0253,0.0126,0.006500000000000006,-0.010199999999999999,-3.5290961105133265,-0.006108666666666667
1962-04-01,-3.4618586955987025,-3.4618586955987025,-2.9533184136767576,-0.5085402819219451,0.5798626245622472,0.025152092394211456,0.0273,0.0394,0.0082,0.012099999999999996,0.006899999999999996,0.006,-3.4618586955987025,-0.064018
1962-05-01,-3.368695937635637,-3.368695937635637,-2.8536558238426215,-0.5150401137930156,0.6289943915481936,0.027722355150467965,0.0269,0.0393,0.0046,0.012400000000000001,0.007199999999999998,-0.0046,-3.368695937635637,-0.08208866666666667
1962-06-01,-3.2800713858951203,-3.2800713858951203,-2.7586227747378422,-0.5214486111572781,0.6873574686431015,0.026455441828352792,0.0273,0.0401,-0.0076,0.012799999999999995,0.00739999999999999,0.005,-3.2800713858951203,-0.082944
1962-07-01,-3.3384620695641676,-3.3384620695641676,-2.8144989496346926,-0.5239631199294746,0.6452260298028198,0.03048590394562987,0.0292,0.0412,-0.0109,0.012,0.007099999999999995,0.0094,-3.3384620695641676,0.06276966666666667
1962-08-01,-3.350413266275302,-3.350413266275302,-2.823953239162172,-0.5264600271131301,0.6333103516202109,0.029329201300048718,0.0282,0.0401,0.0187,0.011899999999999997,0.007100000000000002,-0.004400000000000001,-3.350413266275302,0.019319
1962-09-01,-3.2977936397319607,-3.2977936397319607,-2.7688636624999825,-0.5289299772319787,0.666344260596221,0.030601418774276468,0.0278,0.0398,0.0061,0.012000000000000004,0.007100000000000002,0.0027999999999999995,-3.2977936397319607,-0.05113266666666667
1962-10-01,-3.2942441859482314,-3.2942441859482314,-2.7601623578758145,-0.5340818280724173,0.6541533140037642,0.02809430896685146,0.0274,0.0395,0.0084,0.0121,0.007099999999999995,-0.0015999999999999999,-3.2942441859482314,0.006029666666666666
1962-11-01,-3.3830542625207474,-3.3830542625207474,-2.843925672512078,-0.5391285900086692,0.5941783459109811,0.024810330412886886,0.028300000000000002,0.0396,0.0021,0.011300000000000001,0.007099999999999995,0.0040999999999999995,-3.3830542625207474,0.10590966666666667
1962-12-01,-3.3885987898258336,-3.3885987898258336,-2.8445291074806884,-0.5440696823451451,0.5916270510657875,0.019967896700255505,0.0287,0.0395,0.0035,0.0108,0.0068000000000000005,-0.0012000000000000001,-3.3885987898258336,0.013142333333333332
1963-01-01,-3.433431920617308,-3.433431920617308,-2.8888632286250955,-0.5445686919922126,0.5649849893827341,0.017136108103260623,0.0291,0.0398,-0.0001,0.010700000000000001,0.007000000000000006,0.006,-3.433431920617308,0.047942
1963-02-01,-3.4010434037833397,-3.4010434037833397,-2.8559716837465805,-0.545071720036759,0.5819531179292243,0.013236619679776067,0.0292,0.04,0.0008,0.0108,0.006999999999999992,0.0015,-3.4010434037833397,-0.02662233333333333
1963-03-01,-3.4327861834730404,-3.4327861834730404,-2.8872221489932683,-0.5455640344797723,0.587528570591338,0.014380006560704523,0.028900000000000002,0.0401,0.0009,0.011199999999999995,0.0068999999999999895,0.0017,-3.4327861834730404,0.03417266666666667
1963-04-01,-3.47244258307449,-3.47244258307449,-2.9229905638247535,-0.5494520192497363,0.5587292740699457,0.015199270641094295,0.028999999999999998,0.0405,-0.0012,0.011500000000000003,0.006600000000000002,-0.0039000000000000007,-3.47244258307449,0.04665333333333334
1963-05-01,-3.4790077664393455,-3.4790077664393455,-2.925734633945953,-0.5532731324933929,0.5516121932430945,0.01464837865826392,0.029300000000000003,0.0406,0.0023,0.011299999999999994,0.0063,0.0024999999999999996,-3.4790077664393455,0.017232333333333332
